cam,date,missing
CVTP,2018-01-01,1.0
CVWF,2018-01-01,0.0
MTSR,2018-01-01,0.0
N,2018-01-01,7.0
P,2018-01-01,0.0
R,2018-01-01,1.0
RIMM,2018-01-01,1.0
T,2018-01-01,0.0
TOPI,2018-01-01,0.0
TOTM,2018-01-01,1.0
WHWI,2018-01-01,0.0
WINR,2018-01-01,0.0
WIWR,2018-01-01,1.0
CVTP,2018-01-02,1.0
CVWF,2018-01-02,0.0
MTSR,2018-01-02,0.0
N,2018-01-02,7.0
P,2018-01-02,0.0
R,2018-01-02,0.0
RIMM,2018-01-02,8.0
T,2018-01-02,0.0
TOPI,2018-01-02,0.0
TOTM,2018-01-02,0.0
WHWI,2018-01-02,1.0
WINR,2018-01-02,0.0
WIWR,2018-01-02,0.0
CVTP,2018-01-03,0.0
CVWF,2018-01-03,5.0
MTSR,2018-01-03,1.0
N,2018-01-03,1.0
P,2018-01-03,0.0
R,2018-01-03,1.0
RIMM,2018-01-03,0.0
T,2018-01-03,1.0
TOPI,2018-01-03,0.0
TOTM,2018-01-03,1.0
WHWI,2018-01-03,1.0
WINR,2018-01-03,2.0
WIWR,2018-01-03,1.0
CVTP,2018-01-04,1.0
CVWF,2018-01-04,2.0
MTSR,2018-01-04,0.0
N,2018-01-04,3.0
P,2018-01-04,0.0
R,2018-01-04,0.0
RIMM,2018-01-04,2.0
T,2018-01-04,0.0
TOPI,2018-01-04,0.0
TOTM,2018-01-04,0.0
WHWI,2018-01-04,1.0
WINR,2018-01-04,1.0
WIWR,2018-01-04,0.0
CVTP,2018-01-05,0.0
CVWF,2018-01-05,0.0
MTSR,2018-01-05,0.0
N,2018-01-05,6.0
P,2018-01-05,0.0
R,2018-01-05,0.0
RIMM,2018-01-05,19.0
T,2018-01-05,0.0
TOPI,2018-01-05,0.0
TOTM,2018-01-05,0.0
WHWI,2018-01-05,0.0
WINR,2018-01-05,0.0
WIWR,2018-01-05,1.0
CVTP,2018-01-06,0.0
CVWF,2018-01-06,0.0
MTSR,2018-01-06,0.0
N,2018-01-06,8.0
P,2018-01-06,0.0
R,2018-01-06,1.0
RIMM,2018-01-06,0.0
T,2018-01-06,0.0
TOPI,2018-01-06,0.0
TOTM,2018-01-06,0.0
WHWI,2018-01-06,0.0
WINR,2018-01-06,0.0
WIWR,2018-01-06,1.0
CVTP,2018-01-07,0.0
CVWF,2018-01-07,2.0
MTSR,2018-01-07,0.0
N,2018-01-07,1.0
P,2018-01-07,0.0
R,2018-01-07,0.0
RIMM,2018-01-07,0.0
T,2018-01-07,0.0
TOPI,2018-01-07,0.0
TOTM,2018-01-07,0.0
WHWI,2018-01-07,0.0
WINR,2018-01-07,2.0
WIWR,2018-01-07,0.0
CVTP,2018-01-08,0.0
CVWF,2018-01-08,0.0
MTSR,2018-01-08,0.0
N,2018-01-08,36.0
P,2018-01-08,0.0
R,2018-01-08,29.0
RIMM,2018-01-08,6.0
T,2018-01-08,0.0
TOPI,2018-01-08,0.0
TOTM,2018-01-08,0.0
WHWI,2018-01-08,0.0
WINR,2018-01-08,0.0
WIWR,2018-01-08,0.0
CVTP,2018-01-09,1.0
CVWF,2018-01-09,51.0
MTSR,2018-01-09,1.0
N,2018-01-09,1.0
P,2018-01-09,0.0
R,2018-01-09,0.0
RIMM,2018-01-09,1.0
T,2018-01-09,1.0
TOPI,2018-01-09,1.0
TOTM,2018-01-09,0.0
WHWI,2018-01-09,1.0
WINR,2018-01-09,3.0
WIWR,2018-01-09,0.0
CVTP,2018-01-10,1.0
CVWF,2018-01-10,32.0
MTSR,2018-01-10,0.0
N,2018-01-10,11.0
P,2018-01-10,0.0
R,2018-01-10,0.0
RIMM,2018-01-10,0.0
T,2018-01-10,0.0
TOPI,2018-01-10,0.0
TOTM,2018-01-10,1.0
WHWI,2018-01-10,0.0
WINR,2018-01-10,0.0
WIWR,2018-01-10,0.0
CVTP,2018-01-11,1.0
CVWF,2018-01-11,0.0
MTSR,2018-01-11,0.0
N,2018-01-11,7.0
P,2018-01-11,0.0
R,2018-01-11,0.0
RIMM,2018-01-11,1.0
T,2018-01-11,0.0
TOPI,2018-01-11,1.0
TOTM,2018-01-11,1.0
WHWI,2018-01-11,0.0
WINR,2018-01-11,0.0
WIWR,2018-01-11,0.0
CVTP,2018-01-12,0.0
CVWF,2018-01-12,1.0
MTSR,2018-01-12,1.0
N,2018-01-12,11.0
P,2018-01-12,0.0
R,2018-01-12,0.0
RIMM,2018-01-12,0.0
T,2018-01-12,0.0
